"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Bergeijk","GM1724","Bergeijk","Bergeijk","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","18754","509"
"Bergen (L.)","GM0893","Bergen(L.)","Bergen(L.)","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","3","10,000to20,000inhabitants","5","Non-urban","13108","318"
"Bergen (NH.)","GM0373","Bergen(NH.)","Bergen(NH.)","AM15","NorthHollandNorth","AR02","NorthHolland","CR19","Alkmaarandsurroundings","CS190","Alkmaarandsurroundings","CP1900","Alkmaarandsurroundings","GG2707","MunicipalHealthServiceHollands-Noorden","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2704","TexelandLandofZijpe","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR02","NorthSeaseasideresorts","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","4","20,000to50,000inhabitants","4","Notveryurban","29715","819"
"Bergen op Zoom","GM0748","BergenopZoom","BergenopZoom","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ36","WestBrabantWest","KK44","South","LB3005","WesternSandySoils","LG12","SouthwestBrabant","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","5","50,000to100,000inhabitants","2","Stronglyurban","67514","1855"
"Berkelland","GM1859","Berkelland","Berkelland","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","43846","656"
"Bernheze","GM1721","Bernheze","Bernheze","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR13","WestandCentralBrabant","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","4","Notveryurban","31455","686"
"Best","GM0753","Best","Best","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","30216","1437"
"Beuningen","GM0209","Beuningen","Beuningen","AM08","KingdomofNijmegen","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG2014","MunicipalHealthServiceGelderland-South","JZ32","KingdomofNijmegen","KK43","East","LB2503","SouthernGelderland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC40","KingdomofNijmegen","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","4","20,000to50,000inhabitants","3","Moderatelyurban","26157","1,000"
"Beaverwijk","GM0375","Beaverwijk","Beaverwijk","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR20","IJmond","CS200","IJmond","CP2000","IJmond","GG3109","MunicipalHealthServiceKennemerland","JZ10","IJmond(CentralKennemerland)","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR02","NorthSeaseasideresorts","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","4","20,000to50,000inhabitants","1","Verystrongurban","41863","2736"
"The Bilt","GM0310","TheBilt","BiltThe","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ23","South-eastUtrecht","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR07","UtrechtHillRidgeand'tGooi","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","3","Moderatelyurban","43384","1272"
"Bladel","GM1728","Bladel","Bladel","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","4","Notveryurban","20529","690"
"Blaricum","GM0376","Blaricum","Blaricum","AM12","GooiandVechtregion","AR04","CentralNetherlands","CR24","TheGooiandVechtregion","CS240","TheGooiandVechtregion","CP2400","TheGooiandVechtregion","GG3606","MunicipalHealthServiceGooiandVechtstreek","JZ16","GooiandVechtregion","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE03","CentralNetherlands","ES16","NorthHollandSouth","MC20","GooiandVechtregion","RA0511","GooiandVechtregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1604","GooiandVechtregion","TR07","UtrechtHillRidgeand'tGooi","VT07","GooiandVechtregion","VR14","GooiandVechtregion","ZK21","TheGooi","3","10,000to20,000inhabitants","3","Moderatelyurban","11954","1081"
"Flower Valley","GM0377","FlowerValley","FlowerValley","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR21","HaarlemAgglomeration","CS210","HaarlemAgglomeration","CP2100","HaarlemAgglomeration","GG3109","MunicipalHealthServiceKennemerland","JZ11","SouthKennemerland","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR02","NorthSeaseasideresorts","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","4","20,000to50,000inhabitants","3","Moderatelyurban","23478","1092"
"Bodegraven-Reeuwijk","GM1901","Bodegraven-Reeuwijk","Bodegraven+Reeuwijk","AM20","CentralHolland","AR07","TheHague","CR28","EastSouthHolland","CS280","EastSouthHolland","CP2800","EastSouthHolland","GG4506","MunicipalHealthServiceHollands-Midden","JZ27","CentralHolland","KK45","Southwest","LB2806","KrimpenerwaardandEasternRhineland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES22","CentralHolland","MC27","SouthHollandEast","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2201","CentralHolland","TR06","Dutch-Utrechtlakes","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK13","CentralHolland","4","20,000to50,000inhabitants","3","Moderatelyurban","35278","1142"
"Bookel","GM0755","Bookel","Bookel","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","10959","551"
"Borger-Odoorn","GM1681","Borger-Odoorn","Borger+Odoorn","AM03","Drenthe","AR05","NorthernNetherlands","CR08","SoutheastDrenthe","CS080","SoutheastDrenthe","CP0800","SoutheastDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2205","DrenthePeatColoniesandHondsrug","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC08","SoutheastDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","5","Non-urban","25598","264"
"Borne","GM0147","Borne","Borne","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","3","Moderatelyurban","23668","1237"
"Borsele","GM0654","Borsele","Borsele","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC31","EasternScheldtregion","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","5","Non-urban","22818","319"
"Boxmeer","GM0756","Boxmeer","Boxmeer","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3009","MaaskantandLandvanCuijk","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","4","Notveryurban","29609","673"
"Boxtel","GM0757","Boxtel","Boxtel","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS351","Urbanregion's-Hertogenbosch","CP3510","Urbanregion's-Hertogenbosch","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR13","WestandCentralBrabant","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","32973","1161"
"Breda","GM0758","Breda","Breda","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ34","WestBrabantEast","KK44","South","LB3006","LandofBreda","LG12","SouthwestBrabant","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","7","150,000to250,000inhabitants","2","Stronglyurban","184126","2202"
"Brielle","GM0501","Brielle","Brielle","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2801","Voorne-PuttenandHoekscheWaard","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR04","Deltaarea","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","3","10,000to20,000inhabitants","4","Notveryurban","17439","892"
"Bronckhorst","GM1876","Bronckhorst","Bronckhorst","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","5","Non-urban","36087","378"
"To roar","GM0213","Toroar","Toroar","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2502","IJsselregion","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC11","TriangleofCities","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK03","Apeldoorn/Zutphen","4","20,000to50,000inhabitants","4","Notveryurban","20884","769"
"Brunssum","GM0899","Brunssum","Brunssum","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3001","ParkCity","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","4","20,000to50,000inhabitants","2","Stronglyurban","27670","1669"
"Bunnik","GM0312","Bunnik","Bunnik","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ23","South-eastUtrecht","KK41","Northwest","LB2601","CrookedRhineregionandHeuvelrug","LG10","Riverarea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","3","10,000to20,000inhabitants","4","Notveryurban","15341","667"
"Bunschoten","GM0313","Bunschoten","Bunschoten","AM14","Amersfoort","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1702","AmersfoortMetropolitanRegion","GG2514","GGDRegionUtrecht","JZ20","Eemland","KK41","Northwest","LB2604","Eemland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES13","Amersfoort","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1301","Amersfoort","TR03","IJsselmeercoast","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","3","Moderatelyurban","22019","1184"
"Neighbors","GM0214","Neighbors","Neighbors","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","4","20,000to50,000inhabitants","5","Non-urban","27009","292"
"Capelle aan den IJssel","GM0502","CapelleaandenIJssel","CapelleaandenIJssel","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2809","WestlandandSouthHollandPolders","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR17","OtherNetherlands","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK20","Rotterdam","5","50,000to100,000inhabitants","2","Stronglyurban","67319","2308"
"Castricum","GM0383","Castricum","Castricum","AM15","NorthHollandNorth","AR02","NorthHolland","CR20","IJmond","CS200","IJmond","CP2000","IJmond","GG2707","MunicipalHealthServiceHollands-Noorden","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR02","NorthSeaseasideresorts","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK11","Kennemerland","4","20,000to50,000inhabitants","3","Moderatelyurban","36086","1348"
"Coevorden","GM0109","Coevorden","Coevorden","AM03","Drenthe","AR05","NorthernNetherlands","CR08","SoutheastDrenthe","CS080","SoutheastDrenthe","CP0800","SoutheastDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2204","SouthernSandyAreainDrenthe","LG04","EasternLivestockFarmingArea","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC08","SoutheastDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","5","Non-urban","35317","498"
"Cranendonck","GM1706","Cranendonck","Cranendonck","AM33","CentralLimburg","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","4","Notveryurban","21001","592"
